,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,3.062981685002645,0.0149732829860731,0.0435345967610677,0.0016842089621272,0.44,0.99,1,89,0.72,"{'model__colsample_bytree': 0.44, 'model__learning_rate': 0.99, 'model__max_depth': 1, 'model__n_estimators': 89, 'model__subsample': 0.72}",-35939.79817088791,-43823.21631242613,-39952.89890734152,-39905.30446355185,3218.567934334897,1
1,2.915633281071981,0.0037815925821099,0.0402744611104329,0.0003907024809409,0.44,0.99,1,89,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 89, 'model__max_depth': 1, 'model__learning_rate': 0.99, 'model__colsample_bytree': 0.44}",-35939.79817088791,-43823.21631242613,-39952.89890734152,-39905.30446355185,3218.567934334897,1
2,2.952383518218994,0.0163772580877157,0.04544464747111,0.0061830734495929,0.44,0.99,1,89,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 89, 'model__max_depth': 1, 'model__learning_rate': 0.99, 'model__colsample_bytree': 0.44}",-35939.79817088791,-43823.21631242613,-39952.89890734152,-39905.30446355185,3218.567934334897,1
3,2.899080912272136,0.0125398466772524,0.0405499935150146,0.0006464158066942,0.44,0.99,1,89,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 89, 'model__max_depth': 1, 'model__learning_rate': 0.99, 'model__colsample_bytree': 0.44}",-35939.79817088791,-43823.21631242613,-39952.89890734152,-39905.30446355185,3218.567934334897,1
4,2.291738430658976,0.0311402307661082,0.0309998194376627,0.0006141315922486,0.44,0.99,1,89,0.72,"{'model__colsample_bytree': 0.44, 'model__learning_rate': 0.99, 'model__max_depth': 1, 'model__n_estimators': 89, 'model__subsample': 0.72}",-35939.79817088791,-43823.21631242613,-39952.89890734152,-39905.30446355185,3218.567934334897,1
5,3.239756266276041,0.2710030859133632,0.0508471330006917,0.0135808042305735,0.44,0.99,1,89,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 89, 'model__max_depth': 1, 'model__learning_rate': 0.99, 'model__colsample_bytree': 0.44}",-35939.79817088791,-43823.21631242613,-39952.89890734152,-39905.30446355185,3218.567934334897,1
6,2.8189568519592285,0.061840436046999,0.037744124730428,0.0056339099224878,0.44,0.99,1,89,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 89, 'model__max_depth': 1, 'model__learning_rate': 0.99, 'model__colsample_bytree': 0.44}",-35939.79817088791,-43823.21631242613,-39952.89890734152,-39905.30446355185,3218.567934334897,1
7,2.994556268056234,0.0243847126941948,0.0436027844746907,0.0022409690069759,0.44,0.99,1,89,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 89, 'model__max_depth': 1, 'model__learning_rate': 0.99, 'model__colsample_bytree': 0.44}",-35939.79817088791,-43823.21631242613,-39952.89890734152,-39905.30446355185,3218.567934334897,1
8,3.034290075302124,0.0308995466298742,0.043117602666219,0.0030777886541619,0.44,0.99,1,89,0.72,"{'model__colsample_bytree': 0.44, 'model__learning_rate': 0.99, 'model__max_depth': 1, 'model__n_estimators': 89, 'model__subsample': 0.72}",-35939.79817088791,-43823.21631242613,-39952.89890734152,-39905.30446355185,3218.567934334897,1
9,3.2941081523895264,0.1177081027194051,0.0402447382609049,0.0003255014884125,0.44,0.99,1,98,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 98, 'model__max_depth': 1, 'model__learning_rate': 0.99, 'model__colsample_bytree': 0.44}",-36059.223823288274,-43912.67062357737,-39754.17174483245,-39908.68873056603,3208.0173820604414,2
