,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.9523144563039143,0.022802838389479,0.0170236428578694,0.0004413931928685,0.44,0.9,1,122,0.88,"{'model__colsample_bytree': 0.44, 'model__learning_rate': 0.9, 'model__max_depth': 1, 'model__n_estimators': 122, 'model__subsample': 0.88}",-37549.32465657852,-43687.595375594654,-40889.614536319845,-40708.84485616434,2509.1964335128414,1
1,1.91817593574524,0.0199451180182665,0.0160876115163167,0.0001829884296347,0.44,0.9,1,122,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 122, 'model__max_depth': 1, 'model__learning_rate': 0.9, 'model__colsample_bytree': 0.44}",-37549.32465657852,-43687.595375594654,-40889.614536319845,-40708.84485616434,2509.1964335128414,1
2,1.4993554751078289,0.0153306795054241,0.0122137864430745,0.0001843420562779,0.44,0.9,1,122,0.88,"{'model__colsample_bytree': 0.44, 'model__learning_rate': 0.9, 'model__max_depth': 1, 'model__n_estimators': 122, 'model__subsample': 0.88}",-37549.32465657852,-43687.595375594654,-40889.614536319845,-40708.84485616434,2509.1964335128414,1
3,1.9651468594868973,0.0530087160686397,0.0173772970835367,0.0009877643910722,0.44,0.9,1,122,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 122, 'model__max_depth': 1, 'model__learning_rate': 0.9, 'model__colsample_bytree': 0.44}",-37549.32465657852,-43687.595375594654,-40889.614536319845,-40708.84485616434,2509.1964335128414,1
4,1.859335899353028,0.0163962009398636,0.0151039759318033,0.0001696406225538,0.44,0.9,1,122,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 122, 'model__max_depth': 1, 'model__learning_rate': 0.9, 'model__colsample_bytree': 0.44}",-37549.32465657852,-43687.595375594654,-40889.614536319845,-40708.84485616434,2509.1964335128414,1
5,1.9131786028544109,0.0087929466071679,0.0158968766530354,0.0002421179767768,0.44,0.9,1,122,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 122, 'model__max_depth': 1, 'model__learning_rate': 0.9, 'model__colsample_bytree': 0.44}",-37549.32465657852,-43687.595375594654,-40889.614536319845,-40708.84485616434,2509.1964335128414,1
6,1.957252740859985,0.0265340329474358,0.0165126323699951,0.0004521091896245,0.44,0.9,1,122,0.88,"{'model__colsample_bytree': 0.44, 'model__learning_rate': 0.9, 'model__max_depth': 1, 'model__n_estimators': 122, 'model__subsample': 0.88}",-37549.32465657852,-43687.595375594654,-40889.614536319845,-40708.84485616434,2509.1964335128414,1
7,2.0013208389282227,0.0582658791941705,0.0165352821350097,0.0004592395293311,0.44,0.9,1,122,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 122, 'model__max_depth': 1, 'model__learning_rate': 0.9, 'model__colsample_bytree': 0.44}",-37549.32465657852,-43687.595375594654,-40889.614536319845,-40708.84485616434,2509.1964335128414,1
8,1.9670371214548747,0.0115587615123413,0.0166240533192952,0.0004365760081239,0.44,0.9,1,122,0.88,"{'model__colsample_bytree': 0.44, 'model__learning_rate': 0.9, 'model__max_depth': 1, 'model__n_estimators': 122, 'model__subsample': 0.88}",-37549.32465657852,-43687.595375594654,-40889.614536319845,-40708.84485616434,2509.1964335128414,1
9,1.877113421758016,0.0163007058278421,0.0156733989715576,0.0004076882411863,0.44,0.9,1,122,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 122, 'model__max_depth': 1, 'model__learning_rate': 0.9, 'model__colsample_bytree': 0.44}",-37549.32465657852,-43687.595375594654,-40889.614536319845,-40708.84485616434,2509.1964335128414,1
