,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,12.95488953590393,0.1251997637882071,0.0294586817423502,0.0001241277027233,0.88,0.09,7,149,0.88,"{'model__colsample_bytree': 0.88, 'model__learning_rate': 0.09, 'model__max_depth': 7, 'model__n_estimators': 149, 'model__subsample': 0.88}",-37794.51774213095,-42509.85511105516,-38910.49809694616,-39738.29031671075,2012.052284777969,1
1,12.949189265569052,0.1788357817663539,0.0301090876261393,0.000378693488525,0.88,0.09,7,149,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 149, 'model__max_depth': 7, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.88}",-37794.51774213095,-42509.85511105516,-38910.49809694616,-39738.29031671075,2012.052284777969,1
2,17.63519223531087,0.2755818464373613,0.0364464918772379,0.000234005645792,0.88,0.09,7,149,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 149, 'model__max_depth': 7, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.88}",-37794.51774213095,-42509.85511105516,-38910.49809694616,-39738.29031671075,2012.052284777969,1
3,18.15429329872132,0.3421307268654364,0.036359945933024,0.0003589605472827,0.88,0.09,7,149,0.88,"{'model__colsample_bytree': 0.88, 'model__learning_rate': 0.09, 'model__max_depth': 7, 'model__n_estimators': 149, 'model__subsample': 0.88}",-37794.51774213095,-42509.85511105516,-38910.49809694616,-39738.29031671075,2012.052284777969,1
4,17.73397906621297,0.0577410505275728,0.0373287200927734,0.0013480944764522,0.88,0.09,7,149,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 149, 'model__max_depth': 7, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.88}",-37794.51774213095,-42509.85511105516,-38910.49809694616,-39738.29031671075,2012.052284777969,1
5,12.04157280921936,0.059276367087803,0.0308269659678141,0.0016715138771578,0.88,0.09,7,135,0.88,"{'model__colsample_bytree': 0.88, 'model__learning_rate': 0.09, 'model__max_depth': 7, 'model__n_estimators': 135, 'model__subsample': 0.88}",-37814.29792284445,-42548.14572183071,-38916.93913216196,-39759.79425894571,2022.3966507671043,2
6,16.244279623031616,0.213442448380957,0.0384479363759358,0.000987252564851,0.88,0.09,7,135,0.88,"{'model__colsample_bytree': 0.88, 'model__learning_rate': 0.09, 'model__max_depth': 7, 'model__n_estimators': 135, 'model__subsample': 0.88}",-37814.29792284445,-42548.14572183071,-38916.93913216196,-39759.79425894571,2022.3966507671043,1
7,15.69197909037272,0.1619628300146743,0.035929520924886,0.0006772760940405,0.88,0.09,7,134,0.88,"{'model__colsample_bytree': 0.88, 'model__learning_rate': 0.09, 'model__max_depth': 7, 'model__n_estimators': 134, 'model__subsample': 0.88}",-37829.58958482358,-42539.93446146347,-38918.14981318291,-39762.557953156655,2013.555072396804,2
8,16.127546946207683,0.386705745189886,0.03803284962972,0.002435703203559,0.88,0.09,7,134,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 134, 'model__max_depth': 7, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.88}",-37829.58958482358,-42539.93446146347,-38918.14981318291,-39762.557953156655,2013.555072396804,1
9,16.341463724772137,0.2930526013075555,0.0397610664367675,0.000236008623431,0.88,0.09,7,134,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 134, 'model__max_depth': 7, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.88}",-37829.58958482358,-42539.93446146347,-38918.14981318291,-39762.557953156655,2013.555072396804,1
10,18.965741475423176,0.1394661795175903,0.036013126373291,0.0001857662753349,0.88,0.09,7,164,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 164, 'model__max_depth': 7, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.88}",-37831.88205815512,-42523.14784148424,-38954.78810910497,-39769.93933624811,2000.057883294608,1
11,19.48805061976115,0.1078995790853891,0.0378336906433105,0.0017690199827191,0.88,0.09,7,164,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 164, 'model__max_depth': 7, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.88}",-37831.88205815512,-42523.14784148424,-38954.78810910497,-39769.93933624811,2000.057883294608,2
12,20.299464146296184,0.2087768968451498,0.0381169319152832,0.0012807374283004,0.88,0.09,7,164,0.88,"{'model__subsample': 0.88, 'model__n_estimators': 164, 'model__max_depth': 7, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.88}",-37831.88205815512,-42523.14784148424,-38954.78810910497,-39769.93933624811,2000.057883294608,1
