,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,4.871604919433594,0.0284458925095832,0.0197601318359375,0.0009882336118506,1.0,0.133,10,99,0.356,"{'model__colsample_bytree': 1, 'model__learning_rate': 0.133, 'model__max_depth': 10, 'model__n_estimators': 99, 'model__subsample': 0.356}",-37669.42266403569,-40823.68078947782,-38679.56628587148,-39057.55657979499,1315.1662954938984,1
1,7.96650489171346,0.2970506984020842,0.0229714711507161,0.000348251358876,1.0,0.133,10,99,0.356,"{'model__colsample_bytree': 1, 'model__learning_rate': 0.133, 'model__max_depth': 10, 'model__n_estimators': 99, 'model__subsample': 0.356}",-37669.42266403569,-40823.68078947782,-38679.56628587148,-39057.55657979499,1315.1662954938984,1
2,7.7529715696970625,0.19025540458877,0.0230388641357421,0.0002134042958123,1.0,0.133,10,99,0.356,"{'model__subsample': 0.356, 'model__n_estimators': 99, 'model__max_depth': 10, 'model__learning_rate': 0.133, 'model__colsample_bytree': 1}",-37669.42266403569,-40823.68078947782,-38679.56628587148,-39057.55657979499,1315.1662954938984,1
3,4.891396443049113,0.0343845721784584,0.0193360646565755,0.000502877718482,1.0,0.133,10,99,0.356,"{'model__subsample': 0.356, 'model__n_estimators': 99, 'model__max_depth': 10, 'model__learning_rate': 0.133, 'model__colsample_bytree': 1}",-37669.42266403569,-40823.68078947782,-38679.56628587148,-39057.55657979499,1315.1662954938984,1
4,7.841871500015259,0.0625931057915388,0.024413506189982,0.001945559965084,1.0,0.133,10,99,0.356,"{'model__subsample': 0.356, 'model__n_estimators': 99, 'model__max_depth': 10, 'model__learning_rate': 0.133, 'model__colsample_bytree': 1}",-37669.42266403569,-40823.68078947782,-38679.56628587148,-39057.55657979499,1315.1662954938984,1
5,7.878310839335124,0.1003067645258102,0.023239533106486,0.0001726603068137,1.0,0.133,10,99,0.356,"{'model__subsample': 0.356, 'model__n_estimators': 99, 'model__max_depth': 10, 'model__learning_rate': 0.133, 'model__colsample_bytree': 1}",-37669.42266403569,-40823.68078947782,-38679.56628587148,-39057.55657979499,1315.1662954938984,1
6,4.869330008824666,0.0237201968914412,0.019144058227539,0.0002652895718044,1.0,0.133,10,99,0.356,"{'model__subsample': 0.356, 'model__n_estimators': 99, 'model__max_depth': 10, 'model__learning_rate': 0.133, 'model__colsample_bytree': 1}",-37669.42266403569,-40823.68078947782,-38679.56628587148,-39057.55657979499,1315.1662954938984,1
7,8.089162985483805,0.1796345194999923,0.0242065588633219,0.0009729151163736,1.0,0.133,10,99,0.356,"{'model__subsample': 0.356, 'model__n_estimators': 99, 'model__max_depth': 10, 'model__learning_rate': 0.133, 'model__colsample_bytree': 1}",-37669.42266403569,-40823.68078947782,-38679.56628587148,-39057.55657979499,1315.1662954938984,1
8,4.666165908177693,0.133190131749132,0.0185906887054443,0.000434123156719,0.968,0.133,9,99,0.396,"{'model__colsample_bytree': 0.968, 'model__learning_rate': 0.133, 'model__max_depth': 9, 'model__n_estimators': 99, 'model__subsample': 0.396}",-37895.22543563206,-41268.98857793354,-38038.5561480045,-39067.5900538567,1557.7232359297243,2
9,5.030897378921509,0.0191692682724745,0.0186542669932047,7.816841563753215e-05,0.968,0.133,9,109,0.396,"{'model__colsample_bytree': 0.968, 'model__learning_rate': 0.133, 'model__max_depth': 9, 'model__n_estimators': 109, 'model__subsample': 0.396}",-38042.41688900949,-41046.39623778159,-38168.1112674411,-39085.64146474406,1387.4122745082964,3
10,5.297150055567424,0.0200175139342659,0.0192290941874186,0.0009650011026932,0.968,0.109,10,99,0.396,"{'model__colsample_bytree': 0.968, 'model__learning_rate': 0.109, 'model__max_depth': 10, 'model__n_estimators': 99, 'model__subsample': 0.396}",-37801.592610175154,-41172.11727984313,-38318.90058409445,-39097.53682470424,1482.0739823196675,4
11,9.184032122294107,0.1793848485896798,0.0245064894358317,0.0006457458049504,1.0,0.146,12,99,0.356,"{'model__subsample': 0.356, 'model__n_estimators': 99, 'model__max_depth': 12, 'model__learning_rate': 0.146, 'model__colsample_bytree': 1}",-37786.79127583998,-41107.66315492646,-38421.49262724517,-39105.315686003865,1439.3882939393409,1
12,8.991564750671387,0.0424887627969448,0.0240274270375569,4.432890395979148e-05,1.0,0.146,12,99,0.356,"{'model__colsample_bytree': 1, 'model__learning_rate': 0.146, 'model__max_depth': 12, 'model__n_estimators': 99, 'model__subsample': 0.356}",-37786.79127583998,-41107.66315492646,-38421.49262724517,-39105.315686003865,1439.3882939393409,2
