,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,4.5214652220408125,0.054936413986083,0.0218479633331298,0.0002090517222073,0.8,0.09,8,70,0.72,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.09, 'model__max_depth': 8, 'model__n_estimators': 70, 'model__subsample': 0.72}",-39703.4307519072,-42762.6588153083,-39240.88762665913,-40568.99239795821,1562.6080333075088,1
1,4.5885593096415205,0.0249777604474967,0.0222468376159667,0.0006947783299465,0.8,0.09,8,70,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 70, 'model__max_depth': 8, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.8}",-39703.4307519072,-42762.6588153083,-39240.88762665913,-40568.99239795821,1562.6080333075088,1
2,4.620232741038005,0.0283150485618672,0.0222232341766357,0.0001848881381685,0.8,0.09,8,70,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 70, 'model__max_depth': 8, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.8}",-39703.4307519072,-42762.6588153083,-39240.88762665913,-40568.99239795821,1562.6080333075088,1
3,4.515888293584188,0.0572637054696448,0.02212389310201,0.0002804347348993,0.8,0.09,8,70,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 70, 'model__max_depth': 8, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.8}",-39703.4307519072,-42762.6588153083,-39240.88762665913,-40568.99239795821,1562.6080333075088,1
4,4.939008712768555,0.2427938307873186,0.0227170785268147,0.0006092725822124,0.8,0.09,8,70,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 70, 'model__max_depth': 8, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.8}",-39703.4307519072,-42762.6588153083,-39240.88762665913,-40568.99239795821,1562.6080333075088,1
5,4.605961879094441,0.0094103947760367,0.0228546460469563,0.0006257577809792,0.8,0.09,8,70,0.72,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.09, 'model__max_depth': 8, 'model__n_estimators': 70, 'model__subsample': 0.72}",-39703.4307519072,-42762.6588153083,-39240.88762665913,-40568.99239795821,1562.6080333075088,1
6,4.738056580225627,0.0524797136648224,0.0223642985026041,0.0007311393902834,0.8,0.09,8,70,0.72,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.09, 'model__max_depth': 8, 'model__n_estimators': 70, 'model__subsample': 0.72}",-39703.4307519072,-42762.6588153083,-39240.88762665913,-40568.99239795821,1562.6080333075088,1
7,4.771138985951741,0.1135374594374176,0.0234247048695882,0.0004310800580648,0.8,0.09,8,70,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 70, 'model__max_depth': 8, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.8}",-39703.4307519072,-42762.6588153083,-39240.88762665913,-40568.99239795821,1562.6080333075088,1
8,3.088040908177694,0.0029766875761304,0.0175999800364176,0.0002438823050248,0.8,0.09,8,70,0.72,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.09, 'model__max_depth': 8, 'model__n_estimators': 70, 'model__subsample': 0.72}",-39703.4307519072,-42762.6588153083,-39240.88762665913,-40568.99239795821,1562.6080333075088,1
9,4.784218390782674,0.0482407736241106,0.0252946217854817,0.0022917063802278,0.8,0.09,8,70,0.72,"{'model__subsample': 0.72, 'model__n_estimators': 70, 'model__max_depth': 8, 'model__learning_rate': 0.09, 'model__colsample_bytree': 0.8}",-39703.4307519072,-42762.6588153083,-39240.88762665913,-40568.99239795821,1562.6080333075088,1
